title,abstract,subjects
Die Formen des Berührens : zur vermittelten Unmittelbarkeit sozialer Praxis,"['Everyone knows forms of touch, which are not strictly bound to a skin contact, e.g. the ""touch through meeting eyes"" or a ""embarrassing touch"". From a scientific understanding of matter, such forms of touching are often to be understood as metaphors or analogies. From the history of the present study, there was the presumption that concrete perceptions are associated with those metaphors and analogies. The study then explored the question of how touch can be understood in a broad sense as moments of experiences and can be explored in a sociological way. As a result, an alternative concept of touch is developed, which can also capture a touch through looks or through the observation of behavior as concrete experiences within a social practice. This concept is developed in terms of a social theory, operationalized for empirical research, and exemplary demonstrated based on empirical cases. <engl.>', 'Jeder kennt Formen des Berührens, die nicht im strengen Sinne an einen Hautkontakt gebunden sind, z.B. die ""Berührung durch Worte"" oder ""peinliche Berührung"". Aus einem naturwissenschaftlichen Verständnis von Materie heraus, sind solche Formen des Berührens nur in einem übertragenen Sinn als Metaphern oder Analogien zu verstehen. Aus der Forschungsgeschichte der vorliegenden Studie ergab sich hingegen der Verdacht, dass mit jenen Metaphern und Analogien sehr konkrete Wahrnehmungen verbunden sind. Sie ging daraufhin der Frage nach, wie Berührungen in einem weiten Sinn als Erfahrungsmomente verstanden und in einer soziologischen Weise erforscht werden können. Herausgekommen ist dabei ein alternativer Berührungsbegriff, der auch eine Berührung durch Blicke oder Verhaltensweisen als konkrete Erfahrungen in einer sozialen Praxis erfassen kann. Dieser Berührungsbegriff wird sozialtheoretisch durchdacht, für eine empirische Forschung operationalisiert und an Beispielen exemplarisch entwickelt. <dt.>']",gnd:4512697-5 gnd:4813651-7 gnd:4077624-4 gnd:4132123-6 gnd:4116546-9 gnd:4144729-3
"Standortauswahl für ein Endlager für hochradioaktive Abfälle : intergenerationelle Gerechtigkeit, Wissensgenerierung und Akzeptanz durch Organisation und Verfahren","['The Site Selection Act has created the first ever legal framework for the siting of a high-level nuclear waste repository in Germany. The act provides for a staged selection procedure which makes use of a variety of innovative procedural and organisational governance tools. Lisa Hamacher examines the extent to which this legal framework enables an inter-generationally just, knowledge-based, democratically legitimised, and publically accepted siting decision.', 'Die Endlagerung hochradioaktiver Abfälle stellt Gesetzgeber und Verwaltung vor Herausforderungen: Die Planung ist komplex und findet auf instabiler Wissensgrundlage statt. Die Akzeptanz ist besonders bei der potenziellen Standortbevölkerung gering. Die getroffenen Entscheidungen binden künftige Generationen weit in die Zukunft und müssen deren Belangen besonders Rechnung tragen. Mit dem Standortauswahlgesetz existiert erstmalig eine gesetzliche Grundlage für die Endlagerstandortsuche. Es sieht ein innovatives Auswahlverfahren gestufter Legalplanung mit einer Vielzahl neuartiger Beteiligungsinstrumente vor. Damit setzt der Gesetzgeber wesentlich auf das Steuerungspotenzial von Organisation und Verfahren. Welche Rolle kommt diesem Entscheidungsrahmen bei der Bewältigung der genannten Herausforderungen zu? Können die gewählten Instrumente eine wissensbasierte, akzeptierte und zukunftsgerechte Standortentscheidung ermöglichen?']",gnd:4114266-4 gnd:4014641-8 gnd:4048190-6
Design and optimization of the grating monochromator for soft X-ray self-seeding FELs,"The emergence of Free Electron Lasers (FEL) as a fourth generation of light sources is a breakthrough. FELs operating in the X-ray range (XFEL) allow one to carry out completely new experiments that probably most of the natural sciences would benefit. Self-amplified spontaneous emission (SASE) is the baseline FEL operation mode: the radiation pulse starts as a spontaneous emission from the electron bunch and is being amplified during an FEL process until it reaches saturation. The SASE FEL radiation usually has poor properties in terms of a spectral bandwidth or, on the other side, longitudinal coherence. Self-seeding is a promising approach to narrow the SASE bandwidth of XFELs significantly in order to produce nearly transformlimited pulses. It is achieved by the radiation pulse monochromatization in the middle of an FEL amplification process. Following the successful demonstration of the self-seeding setup in the hard X-ray range at the LCLS, there is a need for a self-seeding extension into the soft X-ray range. Here a numerical method to simulate the soft X-ray self seeding (SXRSS) monochromator performance is presented. It allows one to perform start-to-end self-seeded FEL simulations along with (in our case) GENESIS simulation code. Based on this method, the performance of the LCLS self-seeded operation was simulated showing a good agreement with an experiment. Also the SXRSS monochromator design developed in SLAC was adapted for the SASE3 type undulator beamline at the European XFEL. The optical system was studied using Gaussian beam optics, wave optics propagation method and ray tracing to evaluate the performance of the monochromator itself. Wave optics analysis takes into account the actual beam wavefront of the radiation from the coherent FEL source, third order aberrations and height errors from each optical element. The monochromator design is based on a toroidal VLS grating working at a fixed incidence angle mounting without both entrance and exit slits. It is optimized for the spectral range of 300 − 1200 eV providing resolving power above 7000. The proposed monochromator is composed of three mirrors and the grating. Start-to-end simulation as a case study of the selfseeded European XFEL performance with a proposed SXRSS monochromator is presented. It shows that the laser pulse power reaches a TW-level with its spectral density about eighty times higher than that of the conventional SASE pulse at saturation.",gnd:4323946-8 gnd:4765228-7
Infrastrukturen der Digitalisierung : (Verfassungs)Rechtliche Rahmenbedingungen für Gigabitausbau und Verwaltungsdigitalisierung,"['Germany is still lagging behind when it comes to digitisation, with the federal state set-up proving to be the biggest challenge to the gigabit roll-out and the upgrading of digital administrative processes, which between them form the infrastructure of digitisation.', 'Deutschland hinkt bei der Digitalisierung hinterher. Symptomatisch für diesen Befund sind der nach wie vor unzureichende Stand des Ausbaus gigabitfähiger Netze und die nur schleppend voranschreitende Digitalisierung der Verwaltung. Beide Handlungsfelder haben auf den ersten Blick nur wenig miteinander gemein. Sie sind jedoch beide einerseits Voraussetzungen und damit „Infrastrukturen“ einer umfassenden Digitalisierung. Andererseits sind sie verfassungsrechtlich ausdrücklich verankert, und dennoch erweist sich die bundesstaatliche Ordnung in beiden Bereichen als besondere Herausforderung. Vor diesem Hintergrund und ausgehend von einer systematischen Bestandsaufnahme analysiert Julius Buckler den unions-, verfassungs-, und einfachrechtlichen Rahmen für Gigabitausbau und Verwaltungsdigitalisierung als Gelingensbedingung einer erfolgreichen Digitalisierung.']",gnd:4062801-2 gnd:4123065-6 gnd:4728387-7
Controlled solvent vapor annealing of block copolymer films,"This project was focused on exploring the phase behavior of poly(styrene)187000-block-poly(2-vinylpyridine)203000 (SV390) with high molecular weight (390 kg/mol) in thin films, in which the self-assembly of block copolymers (BCPs) was realized via thermo-solvent annealing. The advanced processing technique of solvent vapor treatment provides controlled and stable conditions. In Chapter 3, the factors to influence the annealing process and the swelling behavior of homopolymers are presented and discussed. The swelling behavior of BCP in films is controlled by the temperature of the vapor and of the substrate, on one hand, and variation of the saturation of the solvent vapor atmosphere (different solvents), on the other hand. Additional factors like the geometry and material of the chamber, the type of flow inside the chamber etc. also influence the reproducibility and stability of the processing. The slightly selective solvent vapor of chloroform gives 10% more swelling of P2VP than PS in films with thickness of ~40 nm. ...",gnd:4132145-5 gnd:4136925-7 gnd:4175308-2 gnd:4146026-1
Retail analytics : integrated forecasting and inventory management for perishable products in retailing,"This book addresses the challenging task of demand forecasting and inventory management in retailing. It analyzes how information from point-of-sale scanner systems can be used to improve inventory decisions, and develops a data-driven approach that integrates demand forecasting and inventory management for perishable products, while taking unobservable lost sales and substitution into account in out-of-stock situations. Using linear programming, a new inventory function that reflects the causal relationship between demand and external factors such as price and weather is proposed. The book subsequently demonstrates the benefits of this new approach in numerical studies that utilize real data collected at a large European retail chain. Furthermore, the book derives an optimal inventory policy for a multi-product setting in which the decision-maker faces an aggregated service level target, and analyzes whether the decision-maker is subject to behavioral biases based on real data for bakery products.",gnd:4423366-8 gnd:4034878-7 gnd:4041036-5 gnd:4358095-6
Credit and liquidity risk in Lévy asset price models,"Zusammenfassung: In this thesis, we present a new kind of asset price model. Credit risk considerations and new developments in the area of liquidity risk modelling are taken into account.In Chapter 1, essential mathematical tools, such as stochastic processes and dependence modelling, are reviewed.Chapter 2 presents a new asset price model, which is an enhancement of the exponential Levy model. The possibility of default is modelled by a single jump to zero, whereby higher probabilities for this event lead to lower asset prices. Explicit valuation formulas for European options are established by using the Fourier valuation method. The formulas can numerically be computed fast and thus allow to calibrate the model to market data.On illiquid markets, the law of one price no longer prevails and the costs of holding unhedgeable risks have to be considered. This issue is incorporated in the Two Price Theory of Cherny and Madan (2010) which is discussed and applied to the considered asset price model in Chapter 3 of this thesis",gnd:4463623-4 gnd:4017214-4
Nanosecond laser flash photolysis studies for the elucidation of photoinduced processes in different TiO2 photocatalysts,"Titandioxid, Laserblitzphotolyse, transiente Absorptionssiganle, getrappte Ladungsträger, Rekombinationsdynamik. - Titanium dioxide, laser flash photolysis, transient absorption signals, trapped charge carriers, recombination dynamics",gnd:4185549-8 gnd:4174509-7 gnd:4146003-0
Adaptive control of a tactile surgical navigation system,"['During surgical navigation, spatial information about the surgical instrument and surrounding tissues is displayed and visualized through a remote monitor. This optical feedback forces the surgeon to gaze away from the field of operation. In the specific case of very dynamic tasks like milling, comes the risk of errors since the gaze lasts for too long. In this work, the topic of adaptation of a control system for a surgical navigation system with vibrotactile feedback is addressed. The aim is to support the surgeon during the operation, for instance in the middle ear, in order to reduce complications and increase the accuracy of the operation. <engl.>', 'Während der chirurgischen Navigation werden die Abweichungen zwischen vorgeplanter Soll- und aktueller Ist-Position über einen Monitor visualisiert . Diese optische Rückkopplung zwingt den Chirurgen, den Blick ständig zwischen dem Operationsgebiet und dem Monitor zu wechseln. Besonders bei sehr dynamischen Aufgaben, wie z. B. Fräsungen, kann es zu Ungenauigkeiten kommen, da der Wechsel zu lange dauert. Die vorliegende Arbeit widmet sich dem Thema der Adaption eines Regelungssystems für ein chirurgisches Navigationssystem mit vibrotaktiler Rückkopplung. Dabei ist das Ziel, Chirurgen während eines Eingriffes - bspw. am Mittelohr - so zu unterstützen, dass die Komplikationsrate reduziert und die Genauigkeit des Eingriffes erhöht werden kann. <dt.>']",gnd:4050851-1 gnd:4691244-7 gnd:4134712-2 gnd:4184494-4
Optische Kohärenztomographie der Stimmlippe zur Diagnostik und bildgebungsgestützten Laserchirurgie,"Laryngoskopie, optische Biopsie, Femtosekundenlaser, Phonochirurgie. - Laryngoscopy, optical biopsy, femtosecond laser, phonosurgery",gnd:4273256-6 gnd:4491198-1 gnd:4246666-0
Decomposition and stability of multifronts and multipulses,In this thesis we consider time dependent reaction diffusion systems in one space dimension that have multiple pulse or front solutions. We develop a new numerical method that decomposes the solutions into their single pulses or fronts and in addition one computes the speeds and the positions of the single pulses and fronts. We show that the method is numerically feasible and prove stability results for the multiple pulse and front solutions if the distance of the pulses or fronts is sufficiently large and they interact only through their small tails.,gnd:4128130-5 gnd:4323967-5
Kooperation und Innovation im Speyerer Buchdruck des ausgehenden Mittelalters,"['This study examines Speyer, a significant medieval printing location, where four printers operated between 1471 and 1500. Alongside the most important workshop belonging to the Drach family, the brothers Johann and Conrad Hist printed there, as did two anonymous printing firms. This volume builds on their biographies to examine and compare their respective incunabulum production in terms of its content, design, use of paper, and dissemination', 'Die Studie untersucht den bedeutenden mittelalterlichen Druckort Speyer, wo zwischen 1471 und 1500 vier unterschiedliche Druckereien tätig waren. Neben der wichtigsten Werkstatt der Familie Drach, die von Peter Drach d. Ä. 1475 begründet wurde, druckten dort Johann und Conrad Hist sowie zwei anonyme Offizinen. Aufbauend auf deren Biographien wird die Speyerer Inkunabelproduktion systematisch im Hinblick auf die Inhalte, die Gestaltung, die Papierbeschaffung und den -gebrauch sowie die zeitgenössische Verbreitung untersucht und verglichen. Die Studie kann dafür auf den reichhaltigen Überlieferungsbestand von über 7000 Exemplaren von gut 300 Ausgaben zurückgreifen, die durch Kataloge und Autopsie erschlossen wurden. Ergänzend zu zahlreichen Archivalien und Paratexten in den Drucken wurde das Rechnungsbuch Peter Drachs d. M. untersucht, das eine einzigartige Quelle für den deutschsprachigen Raum darstellt. Mit der systematischen Auswertung des Rechnungsbuchs und der überlieferten Inkunabeln sowie der Analyse der verwendeten Papiere versteht sich der vorliegende Band zum einen als Fallstudie für massenhaften Papiergebrauch im Spätmittelalter und bietet zum anderen neue methodische Perspektiven für die Inkunabelforschung']",gnd:4133333-0 gnd:4008598-3
Enzymatic synthesis of functional polyesters and their modification by grafting reactions,"['Novel amphiphilic graft copolymers having biodegradable aliphatic polyesters as polymer backbone have been successfully synthesized. Enzymatic polymerization technique was utilized to prepare first the polyester backbone with free pendant functional groups in one step. The resulting pendant groups were then utilized either to initiate the polymerization of the side chains or to connect the side chains by “grafting onto” strategy. The physical properties of the resulting graft copolymers were characterized in bulk, in water and at air/water interface by utilization a wide array of characterization techniques. All graft copolymers are able to form either micelles or nanoparticles with hydrodynamics radius smaller than 100 Å. Interestingly, PGA17-g-(PCL24-b-PEO44) can form polymersomes of an average diameter of 25 nm. These polymersomes form stable worm-like aggregates caused by collision as a result of shear forces during the preparation.', 'Neuartige amphiphile Pfropfcopolymere mit biologisch abbaubaren aliphatischen Polyestern in der Polymerhauptkette wurden erfolgreich synthetisiert. Durch enzymatische Polymerisation wurde in einem Schritt zunächst ein Polyester-Grundgerüst hergestellt, das an den Seitenketten freie funktionelle Gruppen trägt. Diese funktionellen Gruppen wurden anschließend verwendet, um entweder eine Polymerisation der Seitenketten zu initiieren oder um die Seitenketten mittels ""grafting onto""-Strategie zu verbinden. Die physikalischen Eigenschaften der erhaltenen Pfropfcopolymere wurden sowohl in reiner Form, als auch in wässriger Lösung, sowie an der Luft-Wasser-Grenzfläche mit zahlreichen analytischen Verfahren charakterisiert. Die untersuchten Pfropfcopolymere können alle entweder Mizellen oder Nanopartikel ausbilden, deren hydrodynamische Radien kleiner als 100 Å sind. Interessanterweise können sich aus PGA17-g-(PCL24-b-PEO44) Polymersome mit einem durchschnittlichen Durchmesser von 25 nm bilden. Durch Scherkräfte, die während des Herstellungsprozesses bei Kollisionen auftreten, bilden diese Polymersome stabile wurmartige Aggregate.', 'enzymatic polymerization; amphiphilic graft copolymers; “Click chemistry”; biodegradable polymers; nanoparticles; polymersomes; Langmuir trough; Langmuir–Blodgett films', 'enzymatische Polymerisation; amphiphile Blockcopolymere; ""Click-Chemie""; bioabbaubare Polymere; Nanopartikel; Polymersome; Langmuir-Trog; Langmuir-Blodgett-Filme']",gnd:4174104-3 gnd:4333369-2
Entwicklung eines Induktionsheizkonzepts für Durchflussreaktoren und Untersuchungen zur Palladium-katalysierten Umpolungsallylierung,"Mikroreaktoren, Nanopartikel, magnetische Induktion, Umpolung, Palladiumkatalyse. - Microreactor, nanoparticles, magnetic induction, palladium catalysis",gnd:4335401-4 gnd:4284881-7 gnd:4336304-0 gnd:4075695-6 gnd:4029921-1
Determination of the methane budget of the Amazon region utilizing airborne methane observations in combination with atmospheric transport and vegetation modeling,"The Amazon basin is an important player in the global methane cycle. Objectives of this work are to establish a forward and inverse modelling framework on regional scale and to determine the methane budget in the Amazon region. Within the BARCA project (Balanço Atmosférico Regional de Carbono na Amazônia) to airborne measurement campaigns were conducted, one in November 2008 and one in May 2009. The analysis of the methane observations confirms that the Amazon basin is a strong source of methane. The majority of the emissions is found to have biogenic origin, i.e. from wetlands. A comparison of five global methane inversions shows the advantage of using satellite observations in inversion systems. The WRF (Weather Research and Forecasting) Greenhouse Gas model was developed to perform high-resolution simulations of the atmospheric methane distribution in the Amazon region. The newly written code is available within the official WRF-Chem version 3.4 release. Simulations for the two months of the BARCA campaigns with two different wetland models and three different wetland maps were conducted with the WRF Greenhouse Gas model. The comparison to observations indicates that the choice of the wetland map is more important than the choice of the wetland model for a comparison to aircraft observations. Flights with a good representation of the atmospheric transport in the model show a higher correlation between observations and simulations. The two-step regional inversion scheme TM3-STILT was applied to the Amazon region for the year 2009 using observations from the 35 m high TT34 tower. The inversion shows improvements in the representation of the seasonal cycle of the methane emissions in the Amazon basin. However, the determination of the methane budget in the Amazon basin is still highly uncertain.",gnd:4286529-3
"Inertial modes, turbulence and magnetic effects in a differentially rotating spherical shell","The study of a fluid trapped inside a spherical shell is of fundamental interest in fluid mechanics, having given rise to numerous theoretical and experimental studies. This is also a geometric feature shared by geo- and astrophysical objects such as the interior and atmosphere of the Earth, the interiors of stars, gas giants, exoplanets and so on. Driven by these motivations, the present work builds over past studies of the spherical Couette system - two concentric differentially rotating spheres with the space in between filled with a fluid. Despite the numerous theoretical and experiment...",gnd:4182221-3 gnd:4148343-1 gnd:4130803-7 gnd:4117265-6
"Innovation performance in China : innovation systems, market structure and state ownership","['The transition of China has changed almost all fields of China’s economy. However, due to demographic changes and rising labor costs, the high growth phase of China is almost coming to an end. An innovation-driven development pattern has settled upon as the target of China’s government. The core question of the work is: Which factors of innovation systems, market structure and state ownership influence the innovation performance of China? With respect to the innovation performance of provinces, we find that regional innovation systems play an essential role. Market-oriented institutional arrangements increase innovation performance. At the industrial level, there is an inverted-U relationship between market concentration and innovation output. As for the effect of ownership relationship, the impact of state ownership on innovation performance depends on a number of conditions. More precisely, state control of firms has a negative impact on innovation output in particular in China’s Northeast region and in mid- and high-tech sectors whereas under other circumstances it does either not matter or can even exert a positive influence.', 'Chinas Transformation hat fast alle Gebiete der chinesischen Wirtschaft verändert. Aber aufgrund der strukturellen Probleme geht Chinas rasante Wachstumsphase langsam zu Ende. Deshalb hat sich die chinesische Regierung bereits zum Ziel gesetzt, ein innovationsorientiertes Entwicklungsmodell einzuführen. Die Kernfrage der Arbeit lautet: Welche Faktoren der Innovationssysteme, der Marktstruktur und des Staatseigentums beeinflussen Chinas Innovationsleistung? In Bezug auf das Innovationspotential der Provinzen spielen die Innovationssysteme eine wichtige Rolle. Zudem erhöhen marktorientierte institutionelle Ordnungen die Innovationsleistung. Auf der industriellen Ebene gibt es eine umgekehrte U-förmige Beziehung zwischen der Marktkonzentration und dem Innovationsoutput. Das Staatseigentum hat unterschiedliche Auswirkungen auf die Innovationsleistung. Die staatliche Kontrolle der Unternehmen hat negative Einflüsse auf den Innovationsoutput, insbesondere in Nordostchina und in den Mid-Tech- und High-Tech-Industrien. Unter anderen Umständen übt sie entweder keinen oder sogar einen positiven Einfluss aus.', 'China; institutional transition; innovation; innovation systems; marketization reform; market structure; state-owned enterprise; patent', 'China; institutionelle Transformation; Innovation; Innovationssystem; marktorientierte Reform; Marktstruktur; Staatsunternehmen; Patent']",gnd:4182644-9 gnd:4037647-3 gnd:4027089-0
Control of spiral wave dynamics by feedback mechanism via a triangular sensory domain,"Spiral wave,feedback mechanism, photosensitive BZ reaction, excitable media, drift vetor field plot, planewave approximation, BZ, nonlinear",gnd:4182346-1 gnd:4065310-9 gnd:4144449-8 gnd:4015381-2 gnd:4137934-2
Development of CO2-stable oxygen-transporting membranes for oxyfuel carbon capture process,"Mixed ionic-electronic conductors, oxygen-transporting membranes, CO2 stability, perovskites, dual-phase membranes. - Gemischte Leiter, sauerstofftransportierende Membrane, CO2-Stabilität, Perowskite, zweiphasige Membrane",gnd:4275319-3 gnd:4031648-8 gnd:4038571-1 gnd:4179219-1
New approaches to locally adaptive nonparametric estimation and inference,"Abstract: This thesis is concerned with new approaches to locally adaptive estimation and inference. More specifically, this work focusses on estimation and inference related to probability densities in the framework of nonparametric statistics. Indeed, it investigates both on adaptation to lowest density regions and on locally adaptive confidence bands. The two distinct topics are presented in two self-contained chapters. <br>In the first chapter, a scheme for locally adaptive bandwidth selection is proposed which sensitively shrinks the bandwidth of a kernel estimator at lowest density regions, such as the support boundary, which are unknown to the statistician. In case of a Hölder continuous density, this locally minimax-optimal bandwidth is shown to be smaller than the usual rate, even in case of homogeneous smoothness. A new type of risk bound with respect to a density-dependent standardized loss of this estimator is established. This bound is fully non-asymptotic and allows to deduce convergence rates at lowest density regions that can be substantially faster than n^(-1/2). It is complemented by a weighted minimax lower bound which splits into two regimes depending on the value of the density. The new estimator adapts into the second regime, and it is shown that simultaneous adaptation into the fastest regime is not possible in principle as long as the Hölder exponent is unknown. Consequences on plug-in rules for support recovery  are worked out in detail. In contrast to those with classical density estimators, the plug-in rules based on the new construction are minimax-optimal, up to some logarithmic factor. <br>In the second chapter, we develop honest and locally adaptive confidence bands for probability densities. They provide substantially improved confidence statements in case of inhomogeneous smoothness, and are easily implemented and visualized. The thesis contributes conceptual work on locally adaptive inference as a straightforward modification of the global setting imposes severe obstacles for statistical purposes. We introduce a statistical notion of local Hölder regularity and prove a correspondingly strong version of local adaptivity. We substantially relax the straightforward localization of the self-similarity condition in order not to rule out prototypical densities. The set of densities permanently excluded from the consideration is shown to be pathological in a mathematically rigorous sense. On a technical level, the crucial c ...",gnd:4226777-8 gnd:4304375-6 gnd:4139581-5
Fiscal policy and environmental welfare : modelling interjurisdictional competition,"In this innovative book the author examines the link between environmental, trade and industrial policies within an interregional setting. He models how regional governments, using tax rates on real capital and pollutant emissions, determine policies to favour their residents in terms of the provision of public goods and reduction in environmental degradation. Regions or countries engage in competition for mobile capital in a world where production causes pollution and tax revenues are required to finance public goods. In Fiscal Policy and Environmental Welfare the author considers the efficiency consequences when governments act strategically and seek to manage trade, capital flows and emissions. Using formal models, which extend and modify existing literature, the author demonstrates that interjurisdictional competition typically leads to inefficiencies. He argues that although interjurisdictional competition may lead to the overprovision of public goods and to an inefficiently high environmental quality, often the opposite seems to occur. This book will be welcomed by environmental economists, and those scholars interested in welfare and fiscal policy",gnd:4057399-0 gnd:4078523-3 gnd:4114528-8 gnd:4071234-5
Synchronization and sequencing of data acquisition and control electronics at the European X-ray free electron laser,"['The European XFEL will generate repetitive bursts of short x-ray laser pulses to several experiment stations, which will allow in-depth research in various scientific fields. In order to accurately synchronize and sequence all control and data acquisition electronics a time reference system is required. This work provides a complete description of the planning, design, realization and evaluation of the European XFEL Timing System.$cen$dAbstract', 'Der Europäische XFEL ist eine Großforschungsanlage, die Serien von kurzen Röntgenpulsen erzeugen und an mehrere Experimentierplätze liefern wird. Diese erlauben detaillierte Untersuchungen in verschiedenen Forschungsfeldern. Um die eingesetzte Kontroll- und Datenaufnahmeelektronik synchronisieren und Abläufe steuern zu können, wird ein verteiltes Zeitgebersystem benötigt. Diese Arbeit beschreibt Planung, Entwicklung, Umsetzung und Evaluierung dieses European XFEL Timing Systems.$cde$dAbstract']",gnd:4067476-9 gnd:4011152-0
Entwicklung eines E-Learning-Konzeptes zum Capacity Building für die biologische Abfallbehandlung,"['Internationally, organic waste represents a major portion of the municipal solid waste, poses health and sanitary risks and is responsible for methane production if its deposition happens uncontrolled. The separate collection of organic waste followed by a proper biological waste treatment, exploits the potential of the resource organic waste: substitution of fertilizers, production of renewable energy, reduction of greenhouse gas emissions, reduction of residual wastes. To open knowledge to the public and to the international education market, an online learning platform for relevant stakeholders and needs-based core competencies is necessary. A constructivistic didactic approach in a problem-based format supports self-directed learning and serves professional demands.', 'Weltweit stellen Bioabfälle einen großen Anteil der Siedlungsabfälle dar. Eine Getrennterfassung mit anschließender biologischer Behandlung schöpft das Ressourcenpotenzial der Bioabfälle aus: Substitution von Dünger, Erzeugung erneuerbarer Energien, Reduzierung der Treibhausgasemissionen und des Restmüllaufkommens. Um dieses Wissen öffentlich zugänglich zu machen und für den internationalen Weiterbildungsmarkt zu öffnen, bedarf es einer Online-Lernplattform zur Ansprache relevanter Akteure und bedarfsgerecht aufbereiteter Kompetenzen. Ein konstruktivistischer didaktischer Ansatz im problembasierten Format unterstützt selbstgesteuertes Lernen und wird beruflichen Ansprüchen gerecht.']",gnd:4727098-6 gnd:4289080-9
Vermeidung von arteigenen kristallinen Verkrustungen in der Batchkristallisation,"['Potassium sulfate; nucleation; crystalline incrustation; cold finger; layer crystallization; melt crystallization; sugar', 'Diese Arbeit beschäftigte sich mit kristallinen Verkrustungen und ihren Auswirkungen auf das Produkt eines Kristallisationsprozesses, wenn das Material der kristallinen Verkrustungen gleichzeitig das Hauptprodukt des Kristallisationsprozesses ist. Verkrustungen werden oft so groß, dass die Anlagen runtergefahren werden müssen um die Verkrustungen zu beseitigen. Dies führt zu Stillstandzeiten und Kosten. Die Wirtschaftlichkeit wird dadurch stark beeinträchtigt. Vorteile eines kontinuierlichen Betriebs gegenüber einen batchweise Betrieb gehen dabei leicht verloren. Zum besseren Verständnis und einer besseren Beurteilung von kristallinen Verkrustungen wurden Methoden der Schmelzkristallisation eingesetzt. Die Versuche wurden mit Hilfe eines Kühlfingers, der aus verschiedenen Materialien bestehen und unterschiedliche Rauheiten besitzen kann, durchgeführt. Es wurde festgestellt, dass durch geeignete Auswahl des Materials und der Arbeitsbedingungen es möglich ist, die Verkrustungsbildung zu vermeiden bzw. zu reduzieren und gleichzeitig die Ausbeute zu erhöhen.', 'Kaliumsulfat; Keimbildung; Kristalline Verkrustung; Kühlfinger; Schichtkristallisation; Schmelzkristallisation; Zucker']",gnd:4229023-5 gnd:4033215-9
Analysis of partial order reduction techniques for automated planning,"Abstract: Automated planning is an area of Artiﬁcial Intelligence (AI) that is closely related to decision making. Given a planning problem, which is described as an initial state (i.e., a start conﬁguration of the problem), a set of actions, and a goal description, a planning algorithm is concerned with ﬁnding a sequence of actions or a strategy for achieving the goal conditions from the initial state. Planning, in all its variations, is a hard problem. Classical planning is one of the simplest forms of planning. Despite its simplicity, it is still computationally intractable. Therefore, planning problems cannot be solved by brute-force algorithms, but rather by goal-directed algorithms that tackle the complexity of planning. Planning as heuristic search is a prominent technique that has been considered in the area of automated planning. However, recent research has shown that planning as heuristic search needs the aid of orthogonal techniques. Partial order reduction is a well-known and reliable approach that has originally been introduced in the area of computer aided veriﬁcation to tackle the state explosion problem. It is usually used for explicit state-space search to reduce the size of the generated state space. There are two categories of partial order reduction techniques: State reduction and transition reduction techniques. The former are specialized to prune some states that are guaranteed to be uncritical for reaching some ﬁnal states (e.g., goal states in planning), while the latter are designed to prune only redundant states. Later, new partial order reduction techniques have been proposed for optimal planning algorithms. However, the formal relationships between the previous and later techniques were unclear, and furthermore, some of the novel techniques were faulty. In the context of classical planning, we investigate two variants of a powerful state reduction technique from the area of model checking, called stubborn sets. Furthermore, we propose a new deﬁnition of stubborn sets for Fully Observable Non-Deterministic planning (FOND). For classical planning, we show that stubborn sets are completeness and optimality preserving, whereas for FOND planning, we show that they are at least completeness preserving. In addition, we compare between stubborn sets and previous partial order reduction techniques proposed for optimal planning. Moreover, we study a transition reduction technique from the area of model checking, called sleep  ...",gnd:4001183-5 gnd:4033447-8 gnd:4113446-1
"Dimensional sandstones : weathering phenomena, technical properties and numerical modeling of water migration","This here presented thesis is focused on the systematically evaluation of the durability of natural sandstones by the detailed characterization of their petrographical, petrophysical, deterioration and weathering properties. The thesis presents a new combined approach for the detailed analyses at sandstones by onsite studies (deterioration phenomena and weathering behavior), in laboratory (measurement and determination of petrophysical and petrographical properties), by statistical considerations (i.e. establish correlations between petrography, petrophysical and weathering properties) and ...",gnd:4127360-6 gnd:4173962-0 gnd:4151179-7
Menschliche Reaktionen in Naturkatastrophen und technologischen Krisensituationen : Ergebnisse der explorativen Befragung von Überlebenden zur konzeptuellen Entwicklung eines standardisierten Instruments für das retrospektive Assessment,"['Disasters have a massive impact on survivors on a psychological level. The study is one of the first explorative approaches assessing emotional, cognitive and behavioural responses of different types of disasters, such as terror attacks, collapses of buildings, fires, floods and earthquakes with the same set of psychological instruments. Also a comprehensive description of human reactions in disasters was given, taking the influence of posttraumatic stress and time passed since the event into account. Individual and situational characteristics were set into relation to peritraumatic emotional stress, risk perception and posttraumatic stress.', 'Posttraumatisches Stresssyndrom, DISMA, Interview, Krisensituationen, Katastrophen, posttraumatischer Stress, peritraumatische Reaktionen, Fokus Gruppen, Crisis situation, disaster, posttraumatic stress, peritraumatic reaction, focus groups']",gnd:4027503-6 gnd:4361388-3 gnd:4447164-6
